Nome: ARAXA,,
Codigo Estacao: A505,,
Latitude: -19.60583333,,
Longitude: -46.94972221,,
Altitude: 1018.32,,
Situacao: Operante,,
Data Inicial: 2018-01-01,,
Data Final: 2022-12-31,,
Periodicidade da Medicao: Mensal,,
,,
Data Medicao,PRECIPITACAO TOTAL, MENSAL (AUT)(mm)
2018-01-31,181,4
2018-02-28,261,2
2018-03-31,76,
2018-04-30,154,
2018-05-31,20,6
2018-06-30,0,
2018-07-31,0,
2018-08-31,20,4
2018-09-30,85,8
2018-10-31,203,6
2018-11-30,448,6
2018-12-31,215,2
2019-01-31,160,8
2019-02-28,363,2
2019-03-31,137,4
2019-04-30,98,
2019-05-31,35,4
2019-06-30,0,
2019-07-31,1,6
2019-08-31,11,8
2019-09-30,2,
2019-10-31,89,8
2019-11-30,165,6
2019-12-31,218,8
2020-01-31,308,6
2020-02-29,479,8
2020-03-31,209,8
2020-04-30,30,4
2020-05-31,59,4
2020-06-30,3,
2020-07-31,0,
2020-08-31,2,6
2020-09-30,12,8
2020-10-31,93,4
2020-11-30,134,8
2020-12-31,263,2
2021-01-31,125,4
2021-02-28,235,2
2021-03-31,120,2
2021-04-30,12,4
2021-05-31,21,8
2021-06-30,19,4
2021-07-31,0,
2021-08-31,1,
2021-09-30,19,2
2021-10-31,237,4
2021-11-30,71,4
2021-12-31,null,
2022-01-31,null,
2022-02-28,null,
2022-03-31,null,
2022-04-30,null,
2022-05-31,null,
2022-06-30,null,
2022-07-31,null,
2022-08-31,10,4
2022-09-30,65,6
2022-10-31,null,
2022-11-30,null,
2022-12-31,359,2
,,
1663,,
1279,,
1592,,
860,,
434,,
