Nome: ITUIUTABA,,
Codigo Estacao: A512,,
Latitude: -18.95277777,,
Longitude: -49.52499999,,
Altitude: 540.08,,
Situacao: Operante,,
Data Inicial: 2018-01-01,,
Data Final: 2022-12-31,,
Periodicidade da Medicao: Mensal,,
,,
Data Medicao,PRECIPITACAO TOTAL, MENSAL (AUT)(mm)
2018-01-31,319,8
2018-02-28,132,
2018-03-31,47,
2018-04-30,116,8
2018-05-31,25,4
2018-06-30,,4
2018-07-31,0,
2018-08-31,3,8
2018-09-30,null,
2018-10-31,null,
2018-11-30,71,2
2018-12-31,145,6
2019-01-31,101,8
2019-02-28,396,8
2019-03-31,148,
2019-04-30,125,6
2019-05-31,26,2
2019-06-30,,6
2019-07-31,1,6
2019-08-31,2,8
2019-09-30,27,8
2019-10-31,95,8
2019-11-30,201,6
2019-12-31,237,4
2020-01-31,null,
2020-02-29,null,
2020-03-31,null,
2020-04-30,null,
2020-05-31,null,
2020-06-30,null,
2020-07-31,null,
2020-08-31,null,
2020-09-30,null,
2020-10-31,null,
2020-11-30,null,
2020-12-31,245,6
2021-01-31,152,2
2021-02-28,125,
2021-03-31,46,6
2021-04-30,null,
2021-05-31,null,
2021-06-30,null,
2021-07-31,null,
2021-08-31,null,
2021-09-30,null,
2021-10-31,null,
2021-11-30,null,
2021-12-31,279,2
2022-01-31,187,6
2022-02-28,null,
2022-03-31,124,8
2022-04-30,72,8
2022-05-31,45,4
2022-06-30,0,
2022-07-31,0,
2022-08-31,0,
2022-09-30,null,
2022-10-31,null,
2022-11-30,null,
2022-12-31,198,2
,,
858,,
1359,,
245,,
602,,
626,,
